experiment,metric,estimate,bootstrap_median,ci_2.5_percent,ci_97.5_percent
E1_SVM,balanced_accuracy,0.8261569354340439,0.8254076657736583,0.7655732255190153,0.8774500715281549
E1_SVM,macro_F1,0.8306507948017251,0.8261627143292096,0.7658053860852179,0.8759564568134658
E1_SVM,weighted_F1,0.8535163889598398,0.8537876785681113,0.8019825866803361,0.8981361279091143
E1_SVM,F1_Built-up/Bare soil,0.9801980198019802,0.980891719745223,0.9529271708683473,0.9959191935883666
E1_SVM,F1_Durian,0.8081632653061225,0.8088235294117647,0.6829124820659971,0.8961445327809192
E1_SVM,F1_Forest,0.6909090909090909,0.6934408602150537,0.5609756097560976,0.8045977011494252
E1_SVM,F1_Other agriculture,0.7126436781609196,0.7083333333333334,0.47368421052631576,0.8349514563106797
E1_SVM,F1_Oil palm,0.9166666666666666,0.9184549356223176,0.8292682926829269,0.9756146734854444
E1_SVM,F1_Rubber,0.75,0.75,0.5,0.8928571428571429
E1_SVM,F1_Water,0.9559748427672956,0.9574468085106383,0.9090909090909091,0.9902912621359222
E2_fixed_S2_R1,OA,0.8545780969479354,0.8549219551779279,0.8120434526096262,0.892215833350966
E2_fixed_S2_R1,balanced_accuracy,0.8483189902467012,0.8480315815429895,0.7958931882970032,0.8903456502132643
E2_fixed_S2_R1,macro_F1,0.8315074621606634,0.8272191396084185,0.7692287677428441,0.8737640588269053
E2_fixed_S2_R1,weighted_F1,0.8573350433957183,0.8581951173181279,0.8171000517130836,0.8943198722119389
E2_fixed_S2_R1,F1_Built-up/Bare soil,0.9651741293532338,0.9651741293532338,0.9312169312169313,0.9882387140902873
E2_fixed_S2_R1,F1_Durian,0.8617886178861788,0.8616600790513834,0.7777656477438136,0.9187284673144877
E2_fixed_S2_R1,F1_Forest,0.8176100628930817,0.8165680473372781,0.7179389312977099,0.8900523560209423
E2_fixed_S2_R1,F1_Other agriculture,0.7272727272727273,0.7272727272727273,0.49119226638023633,0.864
E2_fixed_S2_R1,F1_Oil palm,0.8255813953488371,0.8275862068965517,0.7258028832429346,0.898883485978661
E2_fixed_S2_R1,F1_Rubber,0.6923076923076924,0.6900656814449917,0.43130252100840333,0.8358344640434191
E2_fixed_S2_R1,F1_Water,0.930817610062893,0.9313725490196079,0.8818897637795275,0.9707602339181286
E3_frozen_Bentong_to_Pahang,OA,0.7039877300613497,0.7048797641851376,0.6582278481012658,0.7488653555219364
E3_frozen_Bentong_to_Pahang,balanced_accuracy,0.7046642061106559,0.704755621500094,0.6661146900315041,0.7429965233836943
E3_frozen_Bentong_to_Pahang,macro_F1,0.7037564048022223,0.7013354546953051,0.6613070208797917,0.7395448472172366
E3_frozen_Bentong_to_Pahang,weighted_F1,0.7043057111982813,0.7055400849284851,0.6571549284142536,0.7502398973947972
E3_frozen_Bentong_to_Pahang,F1_Built-up/Bare soil,0.8571428571428572,0.8587570621468927,0.7769754444378381,0.9181902356902356
E3_frozen_Bentong_to_Pahang,F1_Durian,0.7168141592920354,0.7160493827160493,0.6163503729706011,0.7935254803675856
E3_frozen_Bentong_to_Pahang,F1_Forest,0.6846846846846848,0.684931506849315,0.5833131067961166,0.767246391339214
E3_frozen_Bentong_to_Pahang,F1_Other agriculture,0.6341463414634146,0.6324786324786326,0.4954084753167322,0.7339449541284404
E3_frozen_Bentong_to_Pahang,F1_Oil palm,0.7314285714285714,0.7333333333333334,0.6307608695652174,0.8140703517587939
E3_frozen_Bentong_to_Pahang,F1_Rubber,0.3814432989690722,0.37994413407821226,0.27272727272727276,0.48039352612553404
E3_frozen_Bentong_to_Pahang,F1_Water,0.9206349206349206,0.9221556886227545,0.8591549295774648,0.964467005076142
E5_Pahang_grouped,OA,0.8358895705521472,0.8372445490800784,0.8,0.8690297343899039
E5_Pahang_grouped,balanced_accuracy,0.8411014676959414,0.8416950366585885,0.805531369850479,0.8726155397216626
E5_Pahang_grouped,macro_F1,0.8394393766591175,0.8381109666139674,0.8010986315286033,0.8701783576777161
E5_Pahang_grouped,weighted_F1,0.8376052941267117,0.8391315611986049,0.8025628997950032,0.8704297034182873
E5_Pahang_grouped,F1_Built-up/Bare soil,0.8994082840236686,0.9007633587786259,0.825685406443354,0.9530264065734176
E5_Pahang_grouped,F1_Durian,0.7783251231527094,0.7801808120957057,0.6911697860962567,0.8471615720524016
E5_Pahang_grouped,F1_Forest,0.7960199004975125,0.7978142076502732,0.708991360257183,0.8669538468043723
E5_Pahang_grouped,F1_Other agriculture,0.828125,0.8282828282828283,0.7083173076923076,0.9027777777777778
E5_Pahang_grouped,F1_Oil palm,0.8601036269430051,0.8606060606060606,0.793098347276066,0.9140271493212669
E5_Pahang_grouped,F1_Rubber,0.7678571428571428,0.7679662447257385,0.6735724859892143,0.8414675532501931
E5_Pahang_grouped,F1_Water,0.9462365591397849,0.9473684210526316,0.8944099378881988,0.9842931937172774
